file,geo,variable,tableid
A101108_13,puma,"All Other, i.e., 2 or more races, Native Hawaiian or Pacific Islander, American Indian or Alaska Native, Other race",A101108
A101108_5,tract,All races,A101108
A101108_7,tract,White alone,A101108
A101108_9,tract,Black or African American alone,A101108
A101108_11,tract,Asian alone,A101108
A101108_13,tract,"All Other, i.e., 2 or more races, Native Hawaiian or Pacific Islander, American Indian or Alaska Native, Other race",A101108
A101109_5,puma,"Total, school enrollment",A101109
A101109_7,puma,"Enrolled in nursery school, preschool, or kindergarten",A101109
A101109_9,puma,Enrolled in grade 1 to grade 8,A101109
A101109_11,puma,Enrolled in grade 9 to grade 12,A101109
A101109_13,puma,"Enrolled in college, graduate, or professional school",A101109
A101109_15,puma,Age 3 and over and not enrolled,A101109
A101109_17,puma,Age under 3,A101109
A101109_5,tract,"Total, school enrollment",A101109
A101109_7,tract,"Enrolled in nursery school, preschool, or kindergarten",A101109
A101109_9,tract,Enrolled in grade 1 to grade 8,A101109
A101109_11,tract,Enrolled in grade 9 to grade 12,A101109
A101109_13,tract,"Enrolled in college, graduate, or professional school",A101109
A101109_15,tract,Age 3 and over and not enrolled,A101109
A101109_17,tract,Age under 3,A101109
A101110_5,puma,Both sexes,A101110
A101110_7,puma,Male,A101110
A101110_9,puma,Female,A101110
A102101_5,puma,Workers 16 and over,A102101
A102101_5,tract,Workers 16 and over,A102101
A102102_5,puma,"Total, all ages 16 years and over",A102102
A102102_7,puma,16 and 17 years,A102102
A102102_9,puma,18 to 24 years,A102102
A102102_11,puma,25 to 44 years,A102102
A102102_13,puma,45 to 59 years,A102102
A102102_15,puma,60 to 64 years,A102102
A102102_17,puma,65 to 74 years,A102102
A102102_19,puma,75 years and over,A102102
A102103_5,puma,"Total, all class of worker",A102103
A102103_7,puma,Private for-profit wage and salary workers,A102103
A102103_9,puma,Private not-for-profit wage and salary workers,A102103
A102103_11,puma,Local government workers,A102103
A102103_13,puma,State government workers,A102103
A102103_15,puma,Federal government workers,A102103
A102103_17,puma,Self-employed workers in own not incorporated businesses,A102103
A102103_19,puma,"Self-emloyed workers in own, incorporated businesses",A102103
A102103_21,puma,Unpaid family workers,A102103
A102104_5,puma,"Total, workers' earnings in the past 12 months",A102104
A102104_7,puma,"$1 to $9,999 or loss",A102104
A102104_9,puma,"$10,000 to $14,999",A102104
A102104_11,puma,"$15,000 to $24,999",A102104
A102104_13,puma,"$25,000 to $34,999",A102104
A102104_15,puma,"$35,000 to $49,999",A102104
A102104_17,puma,"$50,000 to $64,999",A102104
A102104_19,puma,"$65,000 to $74,999",A102104
A102104_21,puma,"$75,000 to $99,999",A102104
A102104_23,puma,"$100,000 or more",A102104
A102104_25,puma,No earnings in the past 12 months,A102104
A102104_5,tract,"Total, workers' earnings in the past 12 months",A102104
A102104_7,tract,"$1 to $9,999 or loss",A102104
A102104_9,tract,"$10,000 to $14,999",A102104
A102104_11,tract,"$15,000 to $24,999",A102104
A102104_13,tract,"$25,000 to $34,999",A102104
A102104_15,tract,"$35,000 to $49,999",A102104
A102104_17,tract,"$50,000 to $64,999",A102104
A102104_19,tract,"$65,000 to $74,999",A102104
A102104_21,tract,"$75,000 to $99,999",A102104
A102104_23,tract,"$100,000 or more",A102104
A102104_25,tract,No earnings in the past 12 months,A102104
A102105_5,puma,"Total, all industries",A102105
A102105_7,puma,"Agriculture, forestry, fishing and hunting, and mining",A102105
A102105_9,puma,Construction,A102105
A102105_11,puma,Manufacturing,A102105
A102105_13,puma,Wholesale trade,A102105
A102105_15,puma,Retail trade,A102105
A102105_17,puma,"Transportation and warehousing, and utilities",A102105
A102105_19,puma,Information,A102105
A102105_21,puma,"Finance, insurance, real estate and rental and leasing",A102105
A102105_23,puma,"Professional, scientific, management, administrative,  and waste management services",A102105
A102105_25,puma,"Educational, health and social services",A102105
A102105_27,puma,"Arts, entertainment, recreation, accommodation and food services",A102105
A102105_29,puma,Other services (except public administration),A102105
A102105_31,puma,Public administration,A102105
A102105_33,puma,Armed forces,A102105
A102105_5,tract,"Total, all industries",A102105
A102105_7,tract,"Agriculture, forestry, fishing and hunting, and mining",A102105
A102105_9,tract,Construction,A102105
A102105_11,tract,Manufacturing,A102105
A102105_13,tract,Wholesale trade,A102105
A102105_15,tract,Retail trade,A102105
A102105_17,tract,"Transportation and warehousing, and utilities",A102105
A102105_19,tract,Information,A102105
A102105_21,tract,"Finance, insurance, real estate and rental and leasing",A102105
A102105_23,tract,"Professional, scientific, management, administrative,  and waste management services",A102105
A102105_25,tract,"Educational, health and social services",A102105
A102105_27,tract,"Arts, entertainment, recreation, accommodation and food services",A102105
A102105_29,tract,Other services (except public administration),A102105
A102105_31,tract,Public administration,A102105
A102105_33,tract,Armed forces,A102105
A102106_5,puma,"Total, means of transportation",A102106
A102106_7,puma,"Car, truck, or van -- Drove alone",A102106
A102106_9,puma,"Car, truck, or van -- In a 2-person carpool",A102106
A102106_11,puma,"Car, truck, or van -- In a 3-person carpool",A102106
A102106_13,puma,"Car, truck, or van -- In a 4-person carpool",A102106
A102106_15,puma,"Car, truck, or van -- In a 5-or-6-person carpool",A102106
A102106_17,puma,"Car, truck, or van -- In a 7-or-more-person carpool",A102106
A102106_19,puma,Bus or trolley bus,A102106
A102106_21,puma,Streetcar or trolley car,A102106
A102106_23,puma,Subway or elevated,A102106
A102106_25,puma,Railroad,A102106
A102106_27,puma,Ferryboat,A102106
A102106_29,puma,Bicycle,A102106
A102106_31,puma,Walked,A102106
A102106_33,puma,Taxicab,A102106
A102106_35,puma,Motorcycle,A102106
A102106_37,puma,Other method,A102106
A102106_39,puma,Worked at home,A102106
A102106_5,tract,"Total, means of transportation",A102106
A102106_7,tract,"Car, truck, or van -- Drove alone",A102106
A102106_9,tract,"Car, truck, or van -- In a 2-person carpool",A102106
A102106_11,tract,"Car, truck, or van -- In a 3-person carpool",A102106
A102106_13,tract,"Car, truck, or van -- In a 4-person carpool",A102106
A102106_15,tract,"Car, truck, or van -- In a 5-or-6-person carpool",A102106
A102106_17,tract,"Car, truck, or van -- In a 7-or-more-person carpool",A102106
A102106_19,tract,Bus or trolley bus,A102106
A102106_21,tract,Streetcar or trolley car,A102106
A102106_23,tract,Subway or elevated,A102106
A102106_25,tract,Railroad,A102106
A102106_27,tract,Ferryboat,A102106
A102106_29,tract,Bicycle,A102106
A102106_31,tract,Walked,A102106
A102106_33,tract,Taxicab,A102106
A102106_35,tract,Motorcycle,A102106
A102106_37,tract,Other method,A102106
A102106_39,tract,Worked at home,A102106
A102107_5,puma,"Total, all occupations",A102107
A102107_7,puma,Management occupations,A102107
A102107_9,puma,Farmers and farm managers,A102107
A102107_11,puma,Business and financial operations specialists,A102107
A102107_13,puma,Computer and mathematical occupations,A102107
A102107_15,puma,Architecture and engineering occupations,A102107
A102107_17,puma,"Life, physical, and social science occupations",A102107
A102107_19,puma,Community and social service occupations,A102107
A102107_21,puma,Legal occupations,A102107
A102107_23,puma,"Education, training, and library occupations",A102107
A102107_25,puma,"Arts, design, entertainment, sports, and media occupations",A102107
A102107_27,puma,Healthcare practitioners and technicians occpuations,A102107
A102107_29,puma,Healthcare support occupations,A102107
A102107_31,puma,Protective service occupations,A102107
A102107_33,puma,Food preparation and serving related occupations,A102107
A102107_35,puma,Building and grounds cleaning and maintenance occupations,A102107
A102107_37,puma,Personal care and service occupations,A102107
A102107_39,puma,Sales and related occupations,A102107
A102107_41,puma,Office and administrative support occupations,A102107
A102107_43,puma,"Farming, fishing, and forestry occupations",A102107
A102107_45,puma,Construction and extraction occupations,A102107
A102107_47,puma,"Installation, maintenance, and repair occupations",A102107
A102107_49,puma,Production occupations,A102107
A102107_51,puma,Transportation and material moving occupations,A102107
A102107_53,puma,Armed Forces,A102107
A102107_5,tract,"Total, all occupations",A102107
A102107_7,tract,Management occupations,A102107
A102107_9,tract,Farmers and farm managers,A102107
A102107_11,tract,Business and financial operations specialists,A102107
A102107_13,tract,Computer and mathematical occupations,A102107
A102107_15,tract,Architecture and engineering occupations,A102107
A102107_17,tract,"Life, physical, and social science occupations",A102107
A102107_19,tract,Community and social service occupations,A102107
A102107_21,tract,Legal occupations,A102107
A102107_23,tract,"Education, training, and library occupations",A102107
A102107_25,tract,"Arts, design, entertainment, sports, and media occupations",A102107
A102107_27,tract,Healthcare practitioners and technicians occpuations,A102107
A102107_29,tract,Healthcare support occupations,A102107
A102107_31,tract,Protective service occupations,A102107
A102107_33,tract,Food preparation and serving related occupations,A102107
A102107_35,tract,Building and grounds cleaning and maintenance occupations,A102107
A102107_37,tract,Personal care and service occupations,A102107
A102107_39,tract,Sales and related occupations,A102107
A102107_41,tract,Office and administrative support occupations,A102107
A102107_43,tract,"Farming, fishing, and forestry occupations",A102107
A102107_45,tract,Construction and extraction occupations,A102107
A102107_47,tract,"Installation, maintenance, and repair occupations",A102107
A102107_49,tract,Production occupations,A102107
A102107_51,tract,Transportation and material moving occupations,A102107
A102107_53,tract,Armed Forces,A102107
A102108_5,puma,All workers,A102108
A102108_7,puma,Did not work at home,A102108
A102108_9,puma,5:00 a.m. to 5:14 a.m.,A102108
A102108_11,puma,5:15 a.m. to 5:29 a.m.,A102108
A102108_13,puma,5:30 a.m. to 5:44 a.m.,A102108
A102108_15,puma,5:45 a.m. to 5:59 a.m.,A102108
A102108_17,puma,6:00 a.m. to 6:14 a.m.,A102108
A102108_19,puma,6:15 a.m. to 6:29 a.m.,A102108
A102108_21,puma,6:30 a.m. to 6:44 a.m.,A102108
A102108_23,puma,6:45 a.m. to 6:59 a.m.,A102108
A102108_25,puma,7:00 a.m. to 7:14 a.m.,A102108
A102108_27,puma,7:15 a.m. to 7:29 a.m.,A102108
A102108_29,puma,7:30 a.m. to 7:44 a.m.,A102108
A102108_31,puma,7:45 a.m. to 7:59 a.m.,A102108
A102108_33,puma,8:00 a.m. to 8:14 a.m.,A102108
A102108_35,puma,8:15 a.m. to 8:29 a.m.,A102108
A102108_37,puma,8:30 a.m. to 8:44 a.m.,A102108
A102108_39,puma,8:45 a.m. to 8:59 a.m.,A102108
A102108_41,puma,9:00 a.m. to 9:14 a.m.,A102108
A102108_43,puma,9:15 a.m. to 9:29 a.m.,A102108
A102108_45,puma,9:30 a.m. to 9:44 a.m.,A102108
A102108_47,puma,9:45 a.m. to 9:59 a.m.,A102108
A102108_49,puma,10:00 a.m. to 10:14 a.m.,A102108
A102108_51,puma,10:15 a.m. to 10:29 a.m.,A102108
A102108_53,puma,10:30 a.m. to 10:44 a.m.,A102108
A102108_55,puma,10:45 a.m. to 10:59 a.m.,A102108
A102108_57,puma,11:00 a.m. to 11:59 a.m.,A102108
A102108_59,puma,12:00 p.m. to 12:59 p.m.,A102108
A102108_61,puma,1:00 p.m. to 1:59 p.m.,A102108
A102108_63,puma,2:00 p.m. to 2:59 p.m.,A102108
A102108_65,puma,3:00 p.m. to 3:59 p.m.,A102108
A102108_67,puma,4:00 p.m. to 4:59 p.m.,A102108
A102108_69,puma,5:00 p.m. to 5:59 p.m.,A102108
A102108_71,puma,6:00 p.m. to 6:59 p.m.,A102108
A102108_73,puma,7:00 p.m. to 7:59 p.m.,A102108
A102108_75,puma,8:00 p.m. to 8:59 p.m.,A102108
A102108_77,puma,9:00 p.m. to 9:59 p.m.,A102108
A102108_79,puma,10:00 p.m. to 10:59 p.m.,A102108
A102108_81,puma,11:00 p.m. to 11:59 p.m.,A102108
A102108_83,puma,12:00 a.m. to 4:59 a.m.,A102108
A102108_85,puma,Worked at home,A102108
A102108_5,tract,All workers,A102108
A102108_7,tract,Did not work at home,A102108
A102108_9,tract,5:00 a.m. to 5:14 a.m.,A102108
A102108_11,tract,5:15 a.m. to 5:29 a.m.,A102108
A102108_13,tract,5:30 a.m. to 5:44 a.m.,A102108
A102108_15,tract,5:45 a.m. to 5:59 a.m.,A102108
A102108_17,tract,6:00 a.m. to 6:14 a.m.,A102108
A102108_19,tract,6:15 a.m. to 6:29 a.m.,A102108
A102108_21,tract,6:30 a.m. to 6:44 a.m.,A102108
A102108_23,tract,6:45 a.m. to 6:59 a.m.,A102108
A102108_25,tract,7:00 a.m. to 7:14 a.m.,A102108
A102108_27,tract,7:15 a.m. to 7:29 a.m.,A102108
A102108_29,tract,7:30 a.m. to 7:44 a.m.,A102108
A102108_31,tract,7:45 a.m. to 7:59 a.m.,A102108
A102108_33,tract,8:00 a.m. to 8:14 a.m.,A102108
A102108_35,tract,8:15 a.m. to 8:29 a.m.,A102108
A102108_37,tract,8:30 a.m. to 8:44 a.m.,A102108
A102108_39,tract,8:45 a.m. to 8:59 a.m.,A102108
A102108_41,tract,9:00 a.m. to 9:14 a.m.,A102108
A102108_43,tract,9:15 a.m. to 9:29 a.m.,A102108
A102108_45,tract,9:30 a.m. to 9:44 a.m.,A102108
A102108_47,tract,9:45 a.m. to 9:59 a.m.,A102108
A102108_49,tract,10:00 a.m. to 10:14 a.m.,A102108
A102108_51,tract,10:15 a.m. to 10:29 a.m.,A102108
A102108_53,tract,10:30 a.m. to 10:44 a.m.,A102108
A102108_55,tract,10:45 a.m. to 10:59 a.m.,A102108
A102108_57,tract,11:00 a.m. to 11:59 a.m.,A102108
A102108_59,tract,12:00 p.m. to 12:59 p.m.,A102108
A102108_61,tract,1:00 p.m. to 1:59 p.m.,A102108
A102108_63,tract,2:00 p.m. to 2:59 p.m.,A102108
A102108_65,tract,3:00 p.m. to 3:59 p.m.,A102108
A102108_67,tract,4:00 p.m. to 4:59 p.m.,A102108
A102108_69,tract,5:00 p.m. to 5:59 p.m.,A102108
A102108_71,tract,6:00 p.m. to 6:59 p.m.,A102108
A102108_73,tract,7:00 p.m. to 7:59 p.m.,A102108
A102108_75,tract,8:00 p.m. to 8:59 p.m.,A102108
A102108_77,tract,9:00 p.m. to 9:59 p.m.,A102108
A102108_79,tract,10:00 p.m. to 10:59 p.m.,A102108
A102108_81,tract,11:00 p.m. to 11:59 p.m.,A102108
A102108_83,tract,12:00 a.m. to 4:59 a.m.,A102108
A102108_85,tract,Worked at home,A102108
A102109_5,puma,"Total, usual hours worked per week",A102109
A102109_7,puma,Usually worked 1 to 14 hours per week,A102109
A102109_9,puma,Usually worked 15 to 20 hours per week,A102109
A102109_11,puma,Usually worked 21 to 34 hours per week,A102109
A102109_13,puma,Usually worked 35 to 40 hours per week,A102109
A102109_15,puma,Usually worked 41 to 55 hours per week,A102109
A102109_17,puma,Usually worked 56 hours or more per week,A102109
A102109_5,tract,"Total, usual hours worked per week",A102109
A102109_7,tract,Usually worked 1 to 14 hours per week,A102109
A102109_9,tract,Usually worked 15 to 20 hours per week,A102109
A102109_11,tract,Usually worked 21 to 34 hours per week,A102109
A102109_13,tract,Usually worked 35 to 40 hours per week,A102109
A102109_15,tract,Usually worked 41 to 55 hours per week,A102109
A102109_17,tract,Usually worked 56 hours or more per week,A102109
A102110_5,puma,All workers,A102110
A102110_7,puma,Did not work at home,A102110
A102110_9,puma,Less than 5 minutes,A102110
A102110_11,puma,5 to 14 minutes,A102110
A102110_13,puma,15 to 19 minutes,A102110
A102110_15,puma,20 to 29 minutes,A102110
A102110_17,puma,30 to 44 minutes,A102110
A102110_19,puma,45 to 59 minutes,A102110
A102110_21,puma,60 to 74 minutes,A102110
A102110_23,puma,75 to 89 minutes,A102110
A102110_25,puma,90 minutes or more,A102110
A102110_27,puma,Worked at home,A102110
A102110_5,tract,All workers,A102110
A102110_7,tract,Did not work at home,A102110
A102110_9,tract,Less than 5 minutes,A102110
A102110_11,tract,5 to 14 minutes,A102110
A102110_13,tract,15 to 19 minutes,A102110
A102110_15,tract,20 to 29 minutes,A102110
A102110_17,tract,30 to 44 minutes,A102110
A102110_19,tract,45 to 59 minutes,A102110
A102110_21,tract,60 to 74 minutes,A102110
A102110_23,tract,75 to 89 minutes,A102110
A102110_25,tract,90 minutes or more,A102110
A102110_27,tract,Worked at home,A102110
A103100_5,puma,Total workers in households,A103100
A103100_5,tract,Total workers in households,A103100
A105100_5,puma,"Total, all industries",A105100
A105100_7,puma,"Agriculture, forestry, fishing and hunting, and mining",A105100
A105100_9,puma,Construction,A105100
A105100_11,puma,Manufacturing,A105100
A105100_13,puma,Wholesale trade,A105100
A105100_15,puma,Retail trade,A105100
A105100_17,puma,"Transportation and warehousing, and utilities",A105100
A105100_19,puma,Information,A105100
A105100_21,puma,"Finance, insurance, real estate and rental and leasing",A105100
A105100_23,puma,"Professional, scientific, management, administrative,  and waste management services",A105100
A105100_25,puma,"Educational, health and social services",A105100
A105100_27,puma,"Arts, entertainment, recreation, accommodation and food services",A105100
A105100_29,puma,Other services (except public administration),A105100
A105100_31,puma,Public administration,A105100
A105100_33,puma,Armed forces,A105100
A110100_5,puma,Total housing units,A110100
A110104_5,puma,Total housing units,A110104
A110104_7,puma,"1 unit, detached",A110104
A110104_9,puma,"1 unit, attached",A110104
A110104_11,puma,2 to 4 units,A110104
A110104_13,puma,5 to 19 units,A110104
A110104_15,puma,20 to 49 units,A110104
A110104_17,puma,50 or more units,A110104
A110104_19,puma,Mobile home,A110104
A110104_21,puma,"Boat, RV, van, etc.",A110104
A110105_5,puma,Total housing units,A110105
A110105_7,puma,"Vacant, for rent",A110105
A110105_9,puma,"Vacant, for sale only",A110105
A110105_11,puma,"Vacant, for seasonal, recreational, or occasional use",A110105
A110105_13,puma,All other vacant,A110105
A110105_15,puma,Occupied,A110105
A111101_5,puma,Total households,A111101
A111101_7,puma,Owned with mortgage,A111101
A111101_9,puma,Owned without mortgage,A111101
A111101_11,puma,Rented,A111101
A111101_13,puma,Occupied without rent,A111101
A111102_5,puma,"Total, vehicles available",A111102
A111102_7,puma,0 vehicles,A111102
A111102_9,puma,1 vehicle,A111102
A111102_11,puma,2 vehicles,A111102
A111102_13,puma,3 vehicles,A111102
A111102_15,puma,4-or-more vehicles,A111102
A111102_5,tract,"Total, vehicles available",A111102
A111102_7,tract,0 vehicles,A111102
A111102_9,tract,1 vehicle,A111102
A111102_11,tract,2 vehicles,A111102
A111102_13,tract,3 vehicles,A111102
A111102_15,tract,4-or-more vehicles,A111102
A112100_5,puma,Total households,A112100
A112100_5,tract,Total households,A112100
A112101_5,puma,All households,A112101
A112101_7,puma,No persons under age 18,A112101
A112101_9,puma,1 person under age 18,A112101
A112101_11,puma,2+ persons under age 18,A112101
A112101_5,tract,All households,A112101
A112101_7,tract,No persons under age 18,A112101
A112101_9,tract,1 person under age 18,A112101
A112101_11,tract,2+ persons under age 18,A112101
A112105_5,puma,"Total, all households",A112105
A112105_7,puma,Married couple family household with householder 15 to 64 years,A112105
A112105_9,puma,Married couple family household with householder 15 to 64 years: With own children under 18 years,A112105
A112105_11,puma,Married couple family household with householder 15 to 64 years: No own children under 18 years,A112105
A112105_13,puma,Married couple family household with householder 65 years and over,A112105
A112105_15,puma,Married couple family household with householder 65 years and over: With own children under 18 years,A112105
A112105_17,puma,Married couple family household with householder 65 years and over: No own children under 18 years,A112105
A112105_19,puma,Other family household,A112105
A112105_21,puma,Other family household: With own children under 18 years,A112105
A112105_23,puma,Other family household: No own children under 18 years,A112105
A112105_25,puma,Nonfamily household with householder 15 to 64 years,A112105
A112105_27,puma,Nonfamily household with householder 15 to 64 years: Living alone,A112105
A112105_29,puma,Nonfamily household with householder 15 to 64 years: Not living alone,A112105
A112105_31,puma,Nonfamily household with householder 65 years and over,A112105
A112105_33,puma,Nonfamily household with householder 65 years and over: Living alone,A112105
A112105_35,puma,Nonfamily household with householder 65 years and over: Not living alone,A112105
A112106_5,puma,Total households,A112106
A112106_7,puma,1-person household,A112106
A112106_9,puma,2-person household,A112106
A112106_11,puma,3-person household,A112106
A112106_13,puma,4-or-more person household,A112106
A112106_5,tract,Total households,A112106
A112106_7,tract,1-person household,A112106
A112106_9,tract,2-person household,A112106
A112106_11,tract,3-person household,A112106
A112106_13,tract,4-or-more person household,A112106
A112107_5,puma,Population in households,A112107
A112109_5,puma,"Total, number of workers in household",A112109
A112109_7,puma,0 workers,A112109
A112109_9,puma,1 worker,A112109
A112109_11,puma,2 workers,A112109
A112109_13,puma,3 workers,A112109
A112109_15,puma,4-or-more workers,A112109
A112109_5,tract,"Total, number of workers in household",A112109
A112109_7,tract,0 workers,A112109
A112109_9,tract,1 worker,A112109
A112109_11,tract,2 workers,A112109
A112109_13,tract,3 workers,A112109
A112109_15,tract,4-or-more workers,A112109
A113100_5,puma,"Total, poverty status",A113100
A113100_7,puma,Below 100 percent of the poverty level,A113100
A113100_9,puma,100 to 149 percent of the poverty level,A113100
A113100_11,puma,At or above 150 percent of the poverty level,A113100
A113100_5,tract,"Total, poverty status",A113100
A113100_7,tract,Below 100 percent of the poverty level,A113100
A113100_9,tract,100 to 149 percent of the poverty level,A113100
A113100_11,tract,At or above 150 percent of the poverty level,A113100
B107100_5,puma,"Workers per car, truck, or van",B107100
B111103_5,puma,Aggregate number of vehicles available,B111103
B111103_5,tract,Aggregate number of vehicles available,B111103
B112103_5,puma,Mean household income in the past 12 months,B112103
B112104_5,puma,Median household income in the past 12 months,B112104
B112108_5,puma,Mean number of persons per household,B112108
B112108_5,tract,Mean number of persons per household,B112108
A102109_9,tract,Usually worked 15 to 20 hours per week,A102109
A102109_11,tract,Usually worked 21 to 34 hours per week,A102109
A102109_13,tract,Usually worked 35 to 40 hours per week,A102109
A102109_15,tract,Usually worked 41 to 55 hours per week,A102109
A102109_17,tract,Usually worked 56 hours or more per week,A102109
A102110_5,puma,All workers,A102110
A102110_7,puma,Did not work at home,A102110
A102110_9,puma,Less than 5 minutes,A102110
A102110_11,puma,5 to 14 minutes,A102110
A102110_13,puma,15 to 19 minutes,A102110
A102110_15,puma,20 to 29 minutes,A102110
A102110_17,puma,30 to 44 minutes,A102110
A102110_19,puma,45 to 59 minutes,A102110
A102110_21,puma,60 to 74 minutes,A102110
A102110_23,puma,75 to 89 minutes,A102110
A102110_25,puma,90 minutes or more,A102110
A102110_27,puma,Worked at home,A102110
A102110_5,tad,All workers,A102110
A102110_7,tad,Did not work at home,A102110
A102110_9,tad,Less than 5 minutes,A102110
A102110_11,tad,5 to 14 minutes,A102110
A102110_13,tad,15 to 19 minutes,A102110
A102110_15,tad,20 to 29 minutes,A102110
A102110_17,tad,30 to 44 minutes,A102110
A102110_19,tad,45 to 59 minutes,A102110
A102110_21,tad,60 to 74 minutes,A102110
A102110_23,tad,75 to 89 minutes,A102110
A102110_25,tad,90 minutes or more,A102110
A102110_27,tad,Worked at home,A102110
A102110_5,tract,All workers,A102110
A102110_7,tract,Did not work at home,A102110
A102110_9,tract,Less than 5 minutes,A102110
A102110_11,tract,5 to 14 minutes,A102110
A102110_13,tract,15 to 19 minutes,A102110
A102110_15,tract,20 to 29 minutes,A102110
A102110_17,tract,30 to 44 minutes,A102110
A102110_19,tract,45 to 59 minutes,A102110
A102110_21,tract,60 to 74 minutes,A102110
A102110_23,tract,75 to 89 minutes,A102110
A102110_25,tract,90 minutes or more,A102110
A102110_27,tract,Worked at home,A102110
A103100_5,puma,Total workers in households,A103100
A103100_5,tad,Total workers in households,A103100
A103100_5,tract,Total workers in households,A103100
A105100_5,puma,"Total, all industries",A105100
A105100_7,puma,"Agriculture, forestry, fishing and hunting, and mining",A105100
A105100_9,puma,Construction,A105100
A105100_11,puma,Manufacturing,A105100
A105100_13,puma,Wholesale trade,A105100
A105100_15,puma,Retail trade,A105100
A105100_17,puma,"Transportation and warehousing, and utilities",A105100
A105100_19,puma,Information,A105100
A105100_21,puma,"Finance, insurance, real estate and rental and leasing",A105100
A105100_23,puma,"Professional, scientific, management, administrative,  and waste management services",A105100
A105100_25,puma,"Educational, health and social services",A105100
A105100_27,puma,"Arts, entertainment, recreation, accommodation and food services",A105100
A105100_29,puma,Other services (except public administration),A105100
A105100_31,puma,Public administration,A105100
A105100_33,puma,Armed forces,A105100
A110100_5,puma,Total housing units,A110100
A110104_5,puma,Total housing units,A110104
A110104_7,puma,"1 unit, detached",A110104
A110104_9,puma,"1 unit, attached",A110104
A110104_11,puma,2 to 4 units,A110104
A110104_13,puma,5 to 19 units,A110104
A110104_15,puma,20 to 49 units,A110104
A110104_17,puma,50 or more units,A110104
A110104_19,puma,Mobile home,A110104
A110104_21,puma,"Boat, RV, van, etc.",A110104
A110105_5,puma,Total housing units,A110105
A110105_7,puma,"Vacant, for rent",A110105
A110105_9,puma,"Vacant, for sale only",A110105
A110105_11,puma,"Vacant, for seasonal, recreational, or occasional use",A110105
A110105_13,puma,All other vacant,A110105
A110105_15,puma,Occupied,A110105
A111101_5,puma,Total households,A111101
A111101_7,puma,Owned with mortgage,A111101
A111101_9,puma,Owned without mortgage,A111101
A111101_11,puma,Rented,A111101
A111101_13,puma,Occupied without rent,A111101
A111102_5,puma,"Total, vehicles available",A111102
A111102_7,puma,0 vehicles,A111102
A111102_9,puma,1 vehicle,A111102
A111102_11,puma,2 vehicles,A111102
A111102_13,puma,3 vehicles,A111102
A111102_15,puma,4-or-more vehicles,A111102
A111102_5,tad,"Total, vehicles available",A111102
A111102_7,tad,0 vehicles,A111102
A111102_9,tad,1 vehicle,A111102
A111102_11,tad,2 vehicles,A111102
A111102_13,tad,3 vehicles,A111102
A111102_15,tad,4-or-more vehicles,A111102
A111102_5,tract,"Total, vehicles available",A111102
A111102_7,tract,0 vehicles,A111102
A111102_9,tract,1 vehicle,A111102
A111102_11,tract,2 vehicles,A111102
A111102_13,tract,3 vehicles,A111102
A111102_15,tract,4-or-more vehicles,A111102
A112100_5,puma,Total households,A112100
A112100_5,tad,Total households,A112100
A112100_5,tract,Total households,A112100
A112101_5,puma,All households,A112101
A112101_7,puma,No persons under age 18,A112101
A112101_9,puma,1 person under age 18,A112101
