file,geo,variable,tableid,tableno
A102106_11,cty,"Car, truck, or van -- In a 3-person carpool",A102106,11
A102106_13,cty,"Car, truck, or van -- In a 4-person carpool",A102106,13
A102106_15,cty,"Car, truck, or van -- In a 5-or-6-person carpool",A102106,15
A102106_17,cty,"Car, truck, or van -- In a 7-or-more-person carpool",A102106,17
A102106_19,cty,Bus or trolley bus,A102106,19
A102106_21,cty,Streetcar or trolley car,A102106,21
A102106_23,cty,Subway or elevated,A102106,23
A102106_25,cty,Railroad,A102106,25
A102106_27,cty,Ferryboat,A102106,27
A102106_29,cty,Bicycle,A102106,29
A102106_31,cty,Walked,A102106,31
A102106_33,cty,Taxicab,A102106,33
A102106_35,cty,Motorcycle,A102106,35
A102106_37,cty,Other method,A102106,37
A102106_39,cty,Worked at home,A102106,39
A102107_5,cty,"Total, all occupations",A102107,5
A102107_7,cty,Management occupations,A102107,7
A102107_9,cty,Farmers and farm managers,A102107,9
A102107_11,cty,Business and financial operations specialists,A102107,11
A102107_13,cty,Computer and mathematical occupations,A102107,13
A102107_15,cty,Architecture and engineering occupations,A102107,15
A102107_17,cty,"Life, physical, and social science occupations",A102107,17
A102107_19,cty,Community and social service occupations,A102107,19
A102107_21,cty,Legal occupations,A102107,21
A102107_23,cty,"Education, training, and library occupations",A102107,23
A102107_25,cty,"Arts, design, entertainment, sports, and media occupations",A102107,25
A102107_27,cty,Healthcare practitioners and technicians occpuations,A102107,27
A102107_29,cty,Healthcare support occupations,A102107,29
A102107_31,cty,Protective service occupations,A102107,31
A102107_33,cty,Food preparation and serving related occupations,A102107,33
A102107_35,cty,Building and grounds cleaning and maintenance occupations,A102107,35
A102107_37,cty,Personal care and service occupations,A102107,37
A102107_39,cty,Sales and related occupations,A102107,39
A102107_41,cty,Office and administrative support occupations,A102107,41
A102107_43,cty,"Farming, fishing, and forestry occupations",A102107,43
A102107_45,cty,Construction and extraction occupations,A102107,45
A102107_47,cty,"Installation, maintenance, and repair occupations",A102107,47
A102107_49,cty,Production occupations,A102107,49
A102107_51,cty,Transportation and material moving occupations,A102107,51
A102107_53,cty,Armed Forces,A102107,53
A102108_5,cty,All workers,A102108,5
A102108_7,cty,Did not work at home,A102108,7
A102108_9,cty,5:00 a.m. to 5:14 a.m.,A102108,9
A102108_11,cty,5:15 a.m. to 5:29 a.m.,A102108,11
A102108_13,cty,5:30 a.m. to 5:44 a.m.,A102108,13
A102108_15,cty,5:45 a.m. to 5:59 a.m.,A102108,15
A102108_17,cty,6:00 a.m. to 6:14 a.m.,A102108,17
A102108_19,cty,6:15 a.m. to 6:29 a.m.,A102108,19
A102108_21,cty,6:30 a.m. to 6:44 a.m.,A102108,21
A102108_23,cty,6:45 a.m. to 6:59 a.m.,A102108,23
A102108_25,cty,7:00 a.m. to 7:14 a.m.,A102108,25
A102108_27,cty,7:15 a.m. to 7:29 a.m.,A102108,27
A102108_29,cty,7:30 a.m. to 7:44 a.m.,A102108,29
A102108_31,cty,7:45 a.m. to 7:59 a.m.,A102108,31
A102108_33,cty,8:00 a.m. to 8:14 a.m.,A102108,33
A102108_35,cty,8:15 a.m. to 8:29 a.m.,A102108,35
A102108_37,cty,8:30 a.m. to 8:44 a.m.,A102108,37
A102108_39,cty,8:45 a.m. to 8:59 a.m.,A102108,39
A102108_41,cty,9:00 a.m. to 9:14 a.m.,A102108,41
A102108_43,cty,9:15 a.m. to 9:29 a.m.,A102108,43
A102108_45,cty,9:30 a.m. to 9:44 a.m.,A102108,45
A102108_47,cty,9:45 a.m. to 9:59 a.m.,A102108,47
A102108_49,cty,10:00 a.m. to 10:14 a.m.,A102108,49
A102108_51,cty,10:15 a.m. to 10:29 a.m.,A102108,51
A102108_53,cty,10:30 a.m. to 10:44 a.m.,A102108,53
A102108_55,cty,10:45 a.m. to 10:59 a.m.,A102108,55
A102108_57,cty,11:00 a.m. to 11:59 a.m.,A102108,57
A102108_59,cty,12:00 p.m. to 12:59 p.m.,A102108,59
A102108_61,cty,1:00 p.m. to 1:59 p.m.,A102108,61
A102108_63,cty,2:00 p.m. to 2:59 p.m.,A102108,63
A102108_65,cty,3:00 p.m. to 3:59 p.m.,A102108,65
A102108_67,cty,4:00 p.m. to 4:59 p.m.,A102108,67
A102108_69,cty,5:00 p.m. to 5:59 p.m.,A102108,69
A102108_71,cty,6:00 p.m. to 6:59 p.m.,A102108,71
A102108_73,cty,7:00 p.m. to 7:59 p.m.,A102108,73
A102108_75,cty,8:00 p.m. to 8:59 p.m.,A102108,75
A102108_77,cty,9:00 p.m. to 9:59 p.m.,A102108,77
A102108_79,cty,10:00 p.m. to 10:59 p.m.,A102108,79
A102108_81,cty,11:00 p.m. to 11:59 p.m.,A102108,81
A102108_83,cty,12:00 a.m. to 4:59 a.m.,A102108,83
A102108_85,cty,Worked at home,A102108,85
A102109_5,cty,"Total, usual hours worked per week",A102109,5
A102109_7,cty,Usually worked 1 to 14 hours per week,A102109,7
A102109_9,cty,Usually worked 15 to 20 hours per week,A102109,9
A102109_11,cty,Usually worked 21 to 34 hours per week,A102109,11
A102109_13,cty,Usually worked 35 to 40 hours per week,A102109,13
A102109_15,cty,Usually worked 41 to 55 hours per week,A102109,15
A102109_17,cty,Usually worked 56 hours or more per week,A102109,17
A102110_5,cty,All workers,A102110,5
A102110_7,cty,Did not work at home,A102110,7
A102110_9,cty,Less than 5 minutes,A102110,9
A102110_11,cty,5 to 14 minutes,A102110,11
A102110_13,cty,15 to 19 minutes,A102110,13
A102110_15,cty,20 to 29 minutes,A102110,15
A102110_17,cty,30 to 44 minutes,A102110,17
A102110_19,cty,45 to 59 minutes,A102110,19
A102110_21,cty,60 to 74 minutes,A102110,21
A102110_23,cty,75 to 89 minutes,A102110,23
A102110_25,cty,90 minutes or more,A102110,25
A102110_27,cty,Worked at home,A102110,27
A103100_5,cty,Total workers in households,A103100,5
A111102_5,cty,"Total, vehicles available",A111102,5
A111102_7,cty,0 vehicles,A111102,7
A111102_9,cty,1 vehicle,A111102,9
A111102_11,cty,2 vehicles,A111102,11
A111102_13,cty,3 vehicles,A111102,13
A111102_15,cty,4-or-more vehicles,A111102,15
A112100_5,cty,Total households,A112100,5
A112101_5,cty,All households,A112101,5
A112101_7,cty,No persons under age 18,A112101,7
A112101_9,cty,1 person under age 18,A112101,9
A112101_11,cty,2+ persons under age 18,A112101,11
A112106_5,cty,Total households,A112106,5
A112106_7,cty,1-person household,A112106,7
A112106_9,cty,2-person household,A112106,9
A112106_11,cty,3-person household,A112106,11
A112106_13,cty,4-or-more person household,A112106,13
A112109_5,cty,"Total, number of workers in household",A112109,5
A112109_7,cty,0 workers,A112109,7
A112109_9,cty,1 worker,A112109,9
A112109_11,cty,2 workers,A112109,11
A112109_13,cty,3 workers,A112109,13
A112109_15,cty,4-or-more workers,A112109,15
A113100_5,cty,"Total, poverty status",A113100,5
A113100_7,cty,Below 100 percent of the poverty level,A113100,7
A113100_9,cty,100 to 149 percent of the poverty level,A113100,9
A113100_11,cty,At or above 150 percent of the poverty level,A113100,11
B111103_5,cty,Aggregate number of vehicles available,B111103,5
B112108_5,cty,Mean number of persons per household,B112108,5
A101100_5,puma,Total population (All persons),A101100,5
A101102_5,puma,All persons,A101102,5
A101102_7,puma,Living in urban area,A101102,7
A101102_9,puma,Living in rural area,A101102,9
A101103_5,puma,"Total persons, Hispanic/Latino origin",A101103,5
A101103_7,puma,Hispanic or Latino,A101103,7
A101103_9,puma,Not Hispanic or Latino,A101103,9
A101104_5,puma,"Total, length of US residence",A101104,5
A101104_7,puma,"Born in the United States, Puerto Rico or the Island Areas, or Born Abroad to U.S. Citizen Parent(s)",A101104,7
A101104_9,puma,In the US 2 years or less,A101104,9
A101104_11,puma,In the US 3 to 5 years,A101104,11
A101104_13,puma,In the US 6 to 9 years,A101104,13
A101104_15,puma,In the US 10 or more years,A101104,15
A101108_5,puma,All races,A101108,5
A101108_7,puma,White alone,A101108,7
A101108_9,puma,Black or African American alone,A101108,9
A101108_11,puma,Asian alone,A101108,11
A101108_13,puma,"All Other, i.e., 2 or more races, Native Hawaiian or Pacific Islander, American Indian or Alaska Native, Other race",A101108,13
A101109_5,puma,"Total, school enrollment",A101109,5
A101109_7,puma,"Enrolled in nursery school, preschool, or kindergarten",A101109,7
A101109_9,puma,Enrolled in grade 1 to grade 8,A101109,9
A101109_11,puma,Enrolled in grade 9 to grade 12,A101109,11
A101109_13,puma,"Enrolled in college, graduate, or professional school",A101109,13
A101109_15,puma,Age 3 and over and not enrolled,A101109,15
A101109_17,puma,Age under 3,A101109,17
A102101_5,puma,Workers 16 and over,A102101,5
A102104_5,puma,"Total, workers' earnings in the past 12 months",A102104,5
A102104_7,puma,"$1 to $9,999 or loss",A102104,7
A102104_9,puma,"$10,000 to $14,999",A102104,9
A102104_11,puma,"$15,000 to $24,999",A102104,11
A102104_13,puma,"$25,000 to $34,999",A102104,13
A102104_15,puma,"$35,000 to $49,999",A102104,15
A102104_17,puma,"$50,000 to $64,999",A102104,17
A102104_19,puma,"$65,000 to $74,999",A102104,19
A102104_21,puma,"$75,000 to $99,999",A102104,21
A102104_23,puma,"$100,000 or more",A102104,23
A102104_25,puma,No earnings in the past 12 months,A102104,25
A102105_5,puma,"Total, all industries",A102105,5
A102105_7,puma,"Agriculture, forestry, fishing and hunting, and mining",A102105,7
A102105_9,puma,Construction,A102105,9
A102105_11,puma,Manufacturing,A102105,11
A102105_13,puma,Wholesale trade,A102105,13
A102105_15,puma,Retail trade,A102105,15
A102105_17,puma,"Transportation and warehousing, and utilities",A102105,17
A102105_19,puma,Information,A102105,19
A102105_21,puma,"Finance, insurance, real estate and rental and leasing",A102105,21
A102105_23,puma,"Professional, scientific, management, administrative,  and waste management services",A102105,23
A102105_25,puma,"Educational, health and social services",A102105,25
A102105_27,puma,"Arts, entertainment, recreation, accommodation and food services",A102105,27
A102105_29,puma,Other services (except public administration),A102105,29
A102105_31,puma,Public administration,A102105,31
A102105_33,puma,Armed forces,A102105,33
A102106_5,puma,"Total, means of transportation",A102106,5
A102106_7,puma,"Car, truck, or van -- Drove alone",A102106,7
A102106_9,puma,"Car, truck, or van -- In a 2-person carpool",A102106,9
A102106_11,puma,"Car, truck, or van -- In a 3-person carpool",A102106,11
A102106_13,puma,"Car, truck, or van -- In a 4-person carpool",A102106,13
A102106_15,puma,"Car, truck, or van -- In a 5-or-6-person carpool",A102106,15
A102106_17,puma,"Car, truck, or van -- In a 7-or-more-person carpool",A102106,17
A102106_19,puma,Bus or trolley bus,A102106,19
A102106_21,puma,Streetcar or trolley car,A102106,21
A102106_23,puma,Subway or elevated,A102106,23
A102106_25,puma,Railroad,A102106,25
A102106_27,puma,Ferryboat,A102106,27
A102106_29,puma,Bicycle,A102106,29
A102106_31,puma,Walked,A102106,31
A102106_33,puma,Taxicab,A102106,33
A102106_35,puma,Motorcycle,A102106,35
A102106_37,puma,Other method,A102106,37
A102106_39,puma,Worked at home,A102106,39
A102107_5,puma,"Total, all occupations",A102107,5
A102107_7,puma,Management occupations,A102107,7
A102107_9,puma,Farmers and farm managers,A102107,9
A102107_11,puma,Business and financial operations specialists,A102107,11
A102107_13,puma,Computer and mathematical occupations,A102107,13
A102107_15,puma,Architecture and engineering occupations,A102107,15
A102107_17,puma,"Life, physical, and social science occupations",A102107,17
A102107_19,puma,Community and social service occupations,A102107,19
A102107_21,puma,Legal occupations,A102107,21
A102107_23,puma,"Education, training, and library occupations",A102107,23
A102107_25,puma,"Arts, design, entertainment, sports, and media occupations",A102107,25
A102107_27,puma,Healthcare practitioners and technicians occpuations,A102107,27
A102107_29,puma,Healthcare support occupations,A102107,29
A102107_31,puma,Protective service occupations,A102107,31
A102107_33,puma,Food preparation and serving related occupations,A102107,33
A102107_35,puma,Building and grounds cleaning and maintenance occupations,A102107,35
A102107_37,puma,Personal care and service occupations,A102107,37
A102107_39,puma,Sales and related occupations,A102107,39
A102107_41,puma,Office and administrative support occupations,A102107,41
A102107_43,puma,"Farming, fishing, and forestry occupations",A102107,43
A102107_45,puma,Construction and extraction occupations,A102107,45
A102107_47,puma,"Installation, maintenance, and repair occupations",A102107,47
A102107_49,puma,Production occupations,A102107,49
A102107_51,puma,Transportation and material moving occupations,A102107,51
A102107_53,puma,Armed Forces,A102107,53
A102108_5,puma,All workers,A102108,5
A102108_7,puma,Did not work at home,A102108,7
A102108_9,puma,5:00 a.m. to 5:14 a.m.,A102108,9
A102108_11,puma,5:15 a.m. to 5:29 a.m.,A102108,11
A102108_13,puma,5:30 a.m. to 5:44 a.m.,A102108,13
A102108_15,puma,5:45 a.m. to 5:59 a.m.,A102108,15
A102108_17,puma,6:00 a.m. to 6:14 a.m.,A102108,17
A102108_19,puma,6:15 a.m. to 6:29 a.m.,A102108,19
A102108_21,puma,6:30 a.m. to 6:44 a.m.,A102108,21
A102108_23,puma,6:45 a.m. to 6:59 a.m.,A102108,23
A102108_25,puma,7:00 a.m. to 7:14 a.m.,A102108,25
A102108_27,puma,7:15 a.m. to 7:29 a.m.,A102108,27
A102108_29,puma,7:30 a.m. to 7:44 a.m.,A102108,29
A102108_31,puma,7:45 a.m. to 7:59 a.m.,A102108,31
A102108_33,puma,8:00 a.m. to 8:14 a.m.,A102108,33
A102108_35,puma,8:15 a.m. to 8:29 a.m.,A102108,35
A102108_37,puma,8:30 a.m. to 8:44 a.m.,A102108,37
A102108_39,puma,8:45 a.m. to 8:59 a.m.,A102108,39
A102108_41,puma,9:00 a.m. to 9:14 a.m.,A102108,41
A102108_43,puma,9:15 a.m. to 9:29 a.m.,A102108,43
A102108_45,puma,9:30 a.m. to 9:44 a.m.,A102108,45
A102108_47,puma,9:45 a.m. to 9:59 a.m.,A102108,47
A102108_49,puma,10:00 a.m. to 10:14 a.m.,A102108,49
A102108_51,puma,10:15 a.m. to 10:29 a.m.,A102108,51
A102108_53,puma,10:30 a.m. to 10:44 a.m.,A102108,53
A102108_55,puma,10:45 a.m. to 10:59 a.m.,A102108,55
A102108_57,puma,11:00 a.m. to 11:59 a.m.,A102108,57
A102108_59,puma,12:00 p.m. to 12:59 p.m.,A102108,59
A102108_61,puma,1:00 p.m. to 1:59 p.m.,A102108,61
A102108_63,puma,2:00 p.m. to 2:59 p.m.,A102108,63
A102108_65,puma,3:00 p.m. to 3:59 p.m.,A102108,65
A102108_67,puma,4:00 p.m. to 4:59 p.m.,A102108,67
A102108_69,puma,5:00 p.m. to 5:59 p.m.,A102108,69
A102108_71,puma,6:00 p.m. to 6:59 p.m.,A102108,71
A102108_73,puma,7:00 p.m. to 7:59 p.m.,A102108,73
A102108_75,puma,8:00 p.m. to 8:59 p.m.,A102108,75
A102108_77,puma,9:00 p.m. to 9:59 p.m.,A102108,77
A102108_79,puma,10:00 p.m. to 10:59 p.m.,A102108,79
A102108_81,puma,11:00 p.m. to 11:59 p.m.,A102108,81
A102108_83,puma,12:00 a.m. to 4:59 a.m.,A102108,83
A102108_85,puma,Worked at home,A102108,85
A102109_5,puma,"Total, usual hours worked per week",A102109,5
A102109_7,puma,Usually worked 1 to 14 hours per week,A102109,7
A102109_9,puma,Usually worked 15 to 20 hours per week,A102109,9
A102109_11,puma,Usually worked 21 to 34 hours per week,A102109,11
A102109_13,puma,Usually worked 35 to 40 hours per week,A102109,13
A102109_15,puma,Usually worked 41 to 55 hours per week,A102109,15
A102109_17,puma,Usually worked 56 hours or more per week,A102109,17
A102110_5,puma,All workers,A102110,5
A102110_7,puma,Did not work at home,A102110,7
A102110_9,puma,Less than 5 minutes,A102110,9
A102110_11,puma,5 to 14 minutes,A102110,11
A102110_13,puma,15 to 19 minutes,A102110,13
A102110_15,puma,20 to 29 minutes,A102110,15
A102110_17,puma,30 to 44 minutes,A102110,17
A102110_19,puma,45 to 59 minutes,A102110,19
A102110_21,puma,60 to 74 minutes,A102110,21
A102110_23,puma,75 to 89 minutes,A102110,23
A102110_25,puma,90 minutes or more,A102110,25
A102110_27,puma,Worked at home,A102110,27
A103100_5,puma,Total workers in households,A103100,5
A111102_5,puma,"Total, vehicles available",A111102,5
A111102_7,puma,0 vehicles,A111102,7
A111102_9,puma,1 vehicle,A111102,9
A111102_11,puma,2 vehicles,A111102,11
A111102_13,puma,3 vehicles,A111102,13
A111102_15,puma,4-or-more vehicles,A111102,15
A112100_5,puma,Total households,A112100,5
A112101_5,puma,All households,A112101,5
A112101_7,puma,No persons under age 18,A112101,7
A112101_9,puma,1 person under age 18,A112101,9
A112101_11,puma,2+ persons under age 18,A112101,11
A112106_5,puma,Total households,A112106,5
A112106_7,puma,1-person household,A112106,7
A112106_9,puma,2-person household,A112106,9
A112106_11,puma,3-person household,A112106,11
A112106_13,puma,4-or-more person household,A112106,13
A112109_5,puma,"Total, number of workers in household",A112109,5
A112109_7,puma,0 workers,A112109,7
A112109_9,puma,1 worker,A112109,9
A112109_11,puma,2 workers,A112109,11
A112109_13,puma,3 workers,A112109,13
A112109_15,puma,4-or-more workers,A112109,15
A113100_5,puma,"Total, poverty status",A113100,5
A113100_7,puma,Below 100 percent of the poverty level,A113100,7
A113100_9,puma,100 to 149 percent of the poverty level,A113100,9
A113100_11,puma,At or above 150 percent of the poverty level,A113100,11
B111103_5,puma,Aggregate number of vehicles available,B111103,5
B112108_5,puma,Mean number of persons per household,B112108,5
A101100_5,tract,Total population (All persons),A101100,5
A101102_5,tract,All persons,A101102,5
A101102_7,tract,Living in urban area,A101102,7
A101102_9,tract,Living in rural area,A101102,9
A101103_5,tract,"Total persons, Hispanic/Latino origin",A101103,5
A101103_7,tract,Hispanic or Latino,A101103,7
A101103_9,tract,Not Hispanic or Latino,A101103,9
A101104_5,tract,"Total, length of US residence",A101104,5
A101104_7,tract,"Born in the United States, Puerto Rico or the Island Areas, or Born Abroad to U.S. Citizen Parent(s)",A101104,7
A101104_9,tract,"Born in the United States, Puerto Rico or the Island Areas, or Born Abroad to U.S. Citizen Parent(s)",A101104,9
A101104_11,tract,In the US 3 to 5 years,A101104,11
A101104_13,tract,In the US 6 to 9 years,A101104,13
A101104_15,tract,In the US 10 or more years,A101104,15
A101108_5,tract,All races,A101108,5
A101108_7,tract,White alone,A101108,7
A101108_9,tract,Black or African American alone,A101108,9
A101108_11,tract,Asian alone,A101108,11
A101108_13,tract,"All Other, i.e., 2 or more races, Native Hawaiian or Pacific Islander, American Indian or Alaska Native, Other race",A101108,13
A101109_5,tract,"Total, school enrollment",A101109,5
A101109_7,tract,"Enrolled in nursery school, preschool, or kindergarten",A101109,7
A101109_9,tract,Enrolled in grade 1 to grade 8,A101109,9
A101109_11,tract,Enrolled in grade 9 to grade 12,A101109,11
A101109_13,tract,"Enrolled in college, graduate, or professional school",A101109,13
A101109_15,tract,Age 3 and over and not enrolled,A101109,15
A101109_17,tract,Age under 3,A101109,17
A102101_5,tract,Workers 16 and over,A102101,5
A102104_5,tract,"Total, workers' earnings in the past 12 months",A102104,5
A102104_7,tract,"$1 to $9,999 or loss",A102104,7
A102104_9,tract,"$10,000 to $14,999",A102104,9
A102104_11,tract,"$15,000 to $24,999",A102104,11
A102104_13,tract,"$25,000 to $34,999",A102104,13
A102104_15,tract,"$35,000 to $49,999",A102104,15
A102104_17,tract,"$50,000 to $64,999",A102104,17
A102104_19,tract,"$65,000 to $74,999",A102104,19
A102104_21,tract,"$75,000 to $99,999",A102104,21
A102104_23,tract,"$100,000 or more",A102104,23
A102104_25,tract,No earnings in the past 12 months,A102104,25
A102105_5,tract,"Total, all industries",A102105,5
A102105_7,tract,"Agriculture, forestry, fishing and hunting, and mining",A102105,7
A102105_9,tract,Construction,A102105,9
A102105_11,tract,Manufacturing,A102105,11
A102105_13,tract,Wholesale trade,A102105,13
A102105_15,tract,Retail trade,A102105,15
A102105_17,tract,"Transportation and warehousing, and utilities",A102105,17
A102105_19,tract,Information,A102105,19
A102105_21,tract,"Finance, insurance, real estate and rental and leasing",A102105,21
A102105_23,tract,"Professional, scientific, management, administrative,  and waste management services",A102105,23
A102105_25,tract,"Educational, health and social services",A102105,25
A102105_27,tract,"Arts, entertainment, recreation, accommodation and food services",A102105,27
A102105_29,tract,Other services (except public administration),A102105,29
A102105_31,tract,Public administration,A102105,31
A102105_33,tract,Armed forces,A102105,33
A102106_5,tract,"Total, means of transportation",A102106,5
A102106_7,tract,"Car, truck, or van -- Drove alone",A102106,7
A102106_9,tract,"Car, truck, or van -- In a 2-person carpool",A102106,9
A102106_11,tract,"Car, truck, or van -- In a 3-person carpool",A102106,11
A102106_13,tract,"Car, truck, or van -- In a 4-person carpool",A102106,13
A102106_15,tract,"Car, truck, or van -- In a 5-or-6-person carpool",A102106,15
A102106_17,tract,"Car, truck, or van -- In a 7-or-more-person carpool",A102106,17
A102106_19,tract,Bus or trolley bus,A102106,19
A102106_21,tract,Streetcar or trolley car,A102106,21
A102106_23,tract,Subway or elevated,A102106,23
A102106_25,tract,Railroad,A102106,25
A102106_27,tract,Ferryboat,A102106,27
A102106_29,tract,Bicycle,A102106,29
A102106_31,tract,Walked,A102106,31
A102106_33,tract,Taxicab,A102106,33
A102106_35,tract,Motorcycle,A102106,35
A102106_37,tract,Other method,A102106,37
A102106_39,tract,Worked at home,A102106,39
A102107_5,tract,"Total, all occupations",A102107,5
A102107_7,tract,Management occupations,A102107,7
A102107_9,tract,Farmers and farm managers,A102107,9
A102107_11,tract,Business and financial operations specialists,A102107,11
A102107_13,tract,Computer and mathematical occupations,A102107,13
A102107_15,tract,Architecture and engineering occupations,A102107,15
A102107_17,tract,"Life, physical, and social science occupations",A102107,17
A102107_19,tract,Community and social service occupations,A102107,19
A102107_21,tract,Legal occupations,A102107,21
A102107_23,tract,"Education, training, and library occupations",A102107,23
A102107_25,tract,"Arts, design, entertainment, sports, and media occupations",A102107,25
A102107_27,tract,Healthcare practitioners and technicians occpuations,A102107,27
A102107_29,tract,Healthcare support occupations,A102107,29
A102107_31,tract,Protective service occupations,A102107,31
A102107_33,tract,Food preparation and serving related occupations,A102107,33
A102107_35,tract,Building and grounds cleaning and maintenance occupations,A102107,35
A102107_37,tract,Personal care and service occupations,A102107,37
A102107_39,tract,Sales and related occupations,A102107,39
A102107_41,tract,Office and administrative support occupations,A102107,41
A102107_43,tract,"Farming, fishing, and forestry occupations",A102107,43
A102107_45,tract,Construction and extraction occupations,A102107,45
A102107_47,tract,"Installation, maintenance, and repair occupations",A102107,47
A102107_49,tract,Production occupations,A102107,49
A102107_51,tract,Transportation and material moving occupations,A102107,51
A102107_53,tract,Armed Forces,A102107,53
A102108_5,tract,All workers,A102108,5
A102108_7,tract,Did not work at home,A102108,7
A102108_9,tract,5:00 a.m. to 5:14 a.m.,A102108,9
A102108_11,tract,5:15 a.m. to 5:29 a.m.,A102108,11
A102108_13,tract,5:30 a.m. to 5:44 a.m.,A102108,13
A102108_15,tract,5:45 a.m. to 5:59 a.m.,A102108,15
A102108_17,tract,6:00 a.m. to 6:14 a.m.,A102108,17
A102108_19,tract,6:15 a.m. to 6:29 a.m.,A102108,19
A102108_21,tract,6:30 a.m. to 6:44 a.m.,A102108,21
A102108_23,tract,6:45 a.m. to 6:59 a.m.,A102108,23
A102108_25,tract,7:00 a.m. to 7:14 a.m.,A102108,25
A102108_27,tract,7:15 a.m. to 7:29 a.m.,A102108,27
A102108_29,tract,7:30 a.m. to 7:44 a.m.,A102108,29
A102108_31,tract,7:45 a.m. to 7:59 a.m.,A102108,31
A102108_33,tract,8:00 a.m. to 8:14 a.m.,A102108,33
A102108_35,tract,8:15 a.m. to 8:29 a.m.,A102108,35
A102108_37,tract,8:30 a.m. to 8:44 a.m.,A102108,37
A102108_39,tract,8:45 a.m. to 8:59 a.m.,A102108,39
A102108_41,tract,9:00 a.m. to 9:14 a.m.,A102108,41
A102108_43,tract,9:15 a.m. to 9:29 a.m.,A102108,43
A102108_45,tract,9:30 a.m. to 9:44 a.m.,A102108,45
A102108_47,tract,9:45 a.m. to 9:59 a.m.,A102108,47
A102108_49,tract,10:00 a.m. to 10:14 a.m.,A102108,49
A102108_51,tract,10:15 a.m. to 10:29 a.m.,A102108,51
A102108_53,tract,10:30 a.m. to 10:44 a.m.,A102108,53
A102108_55,tract,10:45 a.m. to 10:59 a.m.,A102108,55
A102108_57,tract,11:00 a.m. to 11:59 a.m.,A102108,57
A102108_59,tract,12:00 p.m. to 12:59 p.m.,A102108,59
A102108_61,tract,1:00 p.m. to 1:59 p.m.,A102108,61
A102108_63,tract,2:00 p.m. to 2:59 p.m.,A102108,63
A102108_65,tract,3:00 p.m. to 3:59 p.m.,A102108,65
A102108_67,tract,4:00 p.m. to 4:59 p.m.,A102108,67
A102108_69,tract,5:00 p.m. to 5:59 p.m.,A102108,69
A102108_71,tract,6:00 p.m. to 6:59 p.m.,A102108,71
